	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.597494305239	0.772066408973	0.704650242762	0.746351361283	0.73676018497	0.730541916257	0.735034313208	0.562948575437
PC.635	0.597494305239	0.0	0.755646647015	0.67137766268	0.734570317133	0.753537155864	0.770646339425	0.679584634461	0.5536047455
PC.356	0.772066408973	0.755646647015	0.0	0.742580271041	0.628319703091	0.751755138855	0.630932979968	0.775385230198	0.813655350405
PC.481	0.704650242762	0.67137766268	0.742580271041	0.0	0.651777959398	0.661126636879	0.625294371186	0.6944270897	0.658348932961
PC.354	0.746351361283	0.734570317133	0.628319703091	0.651777959398	0.0	0.671381544785	0.568090994096	0.75221600866	0.775042243633
PC.593	0.73676018497	0.753537155864	0.751755138855	0.661126636879	0.671381544785	0.0	0.693756728568	0.691176910125	0.745992585932
PC.355	0.730541916257	0.770646339425	0.630932979968	0.625294371186	0.568090994096	0.693756728568	0.0	0.797332722984	0.762882655367
PC.607	0.735034313208	0.679584634461	0.775385230198	0.6944270897	0.75221600866	0.691176910125	0.797332722984	0.0	0.721568670566
PC.634	0.562948575437	0.5536047455	0.813655350405	0.658348932961	0.775042243633	0.745992585932	0.762882655367	0.721568670566	0.0
