SampleID	P(alleged label)	P(second best)	P(alleged label)-P(second best)
PC.636	0	0.181318681318681	-0.181318681318681
PC.635	0	0.211111111111111	-0.211111111111111
PC.356	0	0.205298013245033	-0.205298013245033
PC.481	0	0.192307692307692	-0.192307692307692
PC.354	0	0.244444444444444	-0.244444444444444
PC.593	0	0.171597633136095	-0.171597633136095
PC.355	0	0.187845303867403	-0.187845303867403
PC.607	0	0.153846153846154	-0.153846153846154
PC.634	0	0.226190476190476	-0.226190476190476
