	shannon	PD_whole_tree	chao1	observed_species
PC.636	4.6530828094	5.75533	146.142857143	51.0
PC.635	5.86101293066	6.86053	214.0	74.0
PC.356	5.54420698416	4.61886	143.214285714	66.0
PC.481	5.60957324306	5.56703	178.8	66.0
PC.354	4.70757807456	4.87719	224.2	52.0
PC.593	4.55899097625	4.44366	78.5	41.0
PC.355	5.12905085473	4.25599	124.0	54.0
PC.607	5.46399481032	6.67168	217.428571429	63.0
PC.634	5.15600660356	5.93881	124.0	54.0
