	f2	f1	f3	f4	p2	p1	t1	not16S.1	t2
f2	0.0	0.0	0.0	0.200949731188	0.730172858344	0.749316652081	0.852149627624	1.0	0.859632207458
f1	0.0	0.0	0.0	0.200949731188	0.730172858344	0.749316652081	0.852149627624	1.0	0.859632207458
f3	0.0	0.0	0.0	0.200949731188	0.730172858344	0.749316652081	0.852149627624	1.0	0.859632207458
f4	0.200949731188	0.200949731188	0.200949731188	0.0	0.71053010496	0.720287391656	0.835425449236	1.0	0.844643790087
p2	0.730172858344	0.730172858344	0.730172858344	0.71053010496	0.0	0.484983517108	0.53998711682	1.0	0.501799856012
p1	0.749316652081	0.749316652081	0.749316652081	0.720287391656	0.484983517108	0.0	0.696929184897	1.0	0.645894101442
t1	0.852149627624	0.852149627624	0.852149627624	0.835425449236	0.53998711682	0.696929184897	0.0	1.0	0.0766504411317
not16S.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
t2	0.859632207458	0.859632207458	0.859632207458	0.844643790087	0.501799856012	0.645894101442	0.0766504411317	1.0	0.0
