	f2	f1	f3	f4	p2	p1	t1	not16S.1	t2
f2	0.0	0.048708	0.0726095	0.0398005	0.3739605	0.421642552632	0.642128973684	1.0	0.604708
f1	0.048708	0.0	0.0239015	0.0717045	0.3612685	0.436902552632	0.612632973684	1.0	0.575212
f3	0.0726095	0.0239015	0.0	0.095606	0.346973	0.436583052632	0.598337473684	1.0	0.5609165
f4	0.0398005	0.0717045	0.095606	0.0	0.404155	0.437861052632	0.655519473684	1.0	0.6180985
p2	0.3739605	0.3612685	0.346973	0.404155	0.0	0.228595052632	0.468953526316	1.0	0.3805935
p1	0.421642552632	0.436902552632	0.436583052632	0.437861052632	0.228595052632	0.0	0.589506842105	1.0	0.501146815789
t1	0.642128973684	0.612632973684	0.598337473684	0.655519473684	0.468953526316	0.589506842105	0.0	1.0	0.0898750789474
not16S.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
t2	0.604708	0.575212	0.5609165	0.6180985	0.3805935	0.501146815789	0.0898750789474	1.0	0.0
