	PC.354	PC.355	PC.356	PC.481	PC.593	PC.607	PC.634	PC.635	PC.636
PC.354	0.0	0.166322089675	0.224112256077	0.202142509358	0.0417928672185	0.131047451751	0.110434016567	0.11732602496	0.057537566073
PC.355	0.166322089675	0.0	0.19069517045	0.193451947835	0.134016759706	0.194740385107	0.171356555061	0.197561440862	0.113943142686
PC.356	0.224112256077	0.19069517045	0.0	0.250591668321	0.147251274127	0.178797629044	0.148117155529	0.166662590225	0.0979431103855
PC.481	0.202142509358	0.193451947835	0.250591668321	0.0	0.111095193026	0.149561174981	0.098055802824	0.134642289004	0.0399921166285
PC.593	0.0417928672185	0.134016759706	0.147251274127	0.111095193026	0.0	0.220614072959	0.208124167305	0.210448900886	0.195215028215
PC.607	0.131047451751	0.194740385107	0.178797629044	0.149561174981	0.220614072959	0.0	0.175373777245	0.21470772958	0.146016588348
PC.634	0.110434016567	0.171356555061	0.148117155529	0.098055802824	0.208124167305	0.175373777245	0.0	0.156189309029	0.156262557341
PC.635	0.11732602496	0.197561440862	0.166662590225	0.134642289004	0.210448900886	0.21470772958	0.156189309029	0.0	0.120536074455
PC.636	0.057537566073	0.113943142686	0.0979431103855	0.0399921166285	0.195215028215	0.146016588348	0.156262557341	0.120536074455	0.0
