	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_75_5.biom	75	5	37.0	52.0	47.0	49.0	40.0	34.0	41.0	47.0	34.0
alpha_rarefaction_75_6.biom	75	6	39.0	57.0	49.0	45.0	39.0	32.0	41.0	48.0	38.0
alpha_rarefaction_75_7.biom	75	7	39.0	54.0	43.0	53.0	35.0	31.0	32.0	46.0	38.0
alpha_rarefaction_75_8.biom	75	8	36.0	54.0	50.0	47.0	35.0	32.0	41.0	46.0	35.0
alpha_rarefaction_75_9.biom	75	9	33.0	56.0	52.0	52.0	37.0	33.0	41.0	46.0	43.0
alpha_rarefaction_88_0.biom	88	0	49.0	59.0	57.0	59.0	46.0	38.0	43.0	52.0	46.0
alpha_rarefaction_88_1.biom	88	1	42.0	58.0	58.0	57.0	42.0	32.0	45.0	50.0	45.0
alpha_rarefaction_88_2.biom	88	2	46.0	65.0	51.0	51.0	50.0	32.0	43.0	53.0	47.0
alpha_rarefaction_88_3.biom	88	3	45.0	62.0	52.0	58.0	43.0	35.0	42.0	57.0	45.0
alpha_rarefaction_88_4.biom	88	4	40.0	58.0	56.0	53.0	42.0	35.0	41.0	54.0	43.0
alpha_rarefaction_88_5.biom	88	5	43.0	60.0	53.0	61.0	42.0	36.0	47.0	55.0	45.0
alpha_rarefaction_88_6.biom	88	6	38.0	57.0	53.0	49.0	44.0	37.0	44.0	51.0	44.0
alpha_rarefaction_88_7.biom	88	7	37.0	60.0	57.0	58.0	42.0	34.0	47.0	55.0	47.0
alpha_rarefaction_88_8.biom	88	8	46.0	56.0	59.0	55.0	42.0	37.0	45.0	55.0	44.0
alpha_rarefaction_88_9.biom	88	9	46.0	61.0	51.0	56.0	43.0	32.0	44.0	56.0	46.0
alpha_rarefaction_101_0.biom	101	0	49.0	68.0	64.0	60.0	49.0	42.0	48.0	54.0	50.0
alpha_rarefaction_101_1.biom	101	1	48.0	65.0	59.0	69.0	46.0	38.0	49.0	60.0	55.0
alpha_rarefaction_101_2.biom	101	2	46.0	69.0	53.0	61.0	45.0	39.0	48.0	58.0	46.0
alpha_rarefaction_101_3.biom	101	3	49.0	68.0	56.0	65.0	48.0	37.0	50.0	54.0	50.0
alpha_rarefaction_101_4.biom	101	4	51.0	66.0	59.0	66.0	49.0	39.0	56.0	63.0	49.0
alpha_rarefaction_101_5.biom	101	5	45.0	73.0	61.0	63.0	48.0	40.0	49.0	55.0	42.0
alpha_rarefaction_101_6.biom	101	6	50.0	68.0	61.0	65.0	49.0	36.0	50.0	60.0	47.0
alpha_rarefaction_101_7.biom	101	7	50.0	74.0	63.0	64.0	50.0	36.0	50.0	58.0	51.0
alpha_rarefaction_101_8.biom	101	8	47.0	65.0	69.0	59.0	51.0	37.0	49.0	58.0	45.0
alpha_rarefaction_101_9.biom	101	9	50.0	64.0	59.0	60.0	48.0	44.0	47.0	55.0	49.0
alpha_rarefaction_114_0.biom	114	0	51.0	74.0	69.0	70.0	51.0	40.0	49.0	62.0	52.0
alpha_rarefaction_114_1.biom	114	1	55.0	74.0	63.0	66.0	54.0	39.0	51.0	59.0	51.0
alpha_rarefaction_114_2.biom	114	2	49.0	70.0	69.0	66.0	49.0	39.0	54.0	62.0	55.0
alpha_rarefaction_114_3.biom	114	3	50.0	74.0	62.0	62.0	52.0	43.0	50.0	63.0	55.0
alpha_rarefaction_114_4.biom	114	4	54.0	71.0	65.0	63.0	52.0	43.0	56.0	66.0	56.0
alpha_rarefaction_114_5.biom	114	5	51.0	75.0	68.0	66.0	53.0	43.0	51.0	61.0	53.0
alpha_rarefaction_114_6.biom	114	6	54.0	75.0	68.0	71.0	53.0	42.0	52.0	68.0	52.0
alpha_rarefaction_114_7.biom	114	7	51.0	70.0	64.0	65.0	54.0	41.0	52.0	63.0	54.0
alpha_rarefaction_114_8.biom	114	8	50.0	72.0	66.0	69.0	52.0	36.0	52.0	64.0	52.0
alpha_rarefaction_114_9.biom	114	9	50.0	71.0	65.0	70.0	54.0	40.0	53.0	60.0	54.0
alpha_rarefaction_127_0.biom	127	0	56.0	85.0	72.0	72.0	55.0	45.0	55.0	70.0	56.0
alpha_rarefaction_127_1.biom	127	1	57.0	79.0	74.0	72.0	56.0	45.0	54.0	69.0	57.0
alpha_rarefaction_127_2.biom	127	2	56.0	76.0	77.0	74.0	59.0	42.0	59.0	66.0	58.0
alpha_rarefaction_127_3.biom	127	3	52.0	76.0	76.0	74.0	59.0	43.0	59.0	71.0	58.0
alpha_rarefaction_127_4.biom	127	4	56.0	82.0	72.0	72.0	54.0	45.0	53.0	67.0	59.0
alpha_rarefaction_127_5.biom	127	5	59.0	79.0	76.0	78.0	58.0	39.0	55.0	76.0	59.0
alpha_rarefaction_127_6.biom	127	6	56.0	80.0	74.0	76.0	56.0	42.0	57.0	71.0	59.0
alpha_rarefaction_127_7.biom	127	7	58.0	83.0	74.0	73.0	57.0	47.0	56.0	71.0	54.0
alpha_rarefaction_127_8.biom	127	8	56.0	79.0	76.0	70.0	58.0	46.0	56.0	68.0	59.0
alpha_rarefaction_127_9.biom	127	9	59.0	81.0	80.0	73.0	58.0	44.0	54.0	66.0	54.0
alpha_rarefaction_140_0.biom	140	0	59.0	86.0	79.0	79.0	64.0	46.0	57.0	75.0	59.0
alpha_rarefaction_140_1.biom	140	1	60.0	86.0	80.0	78.0	62.0	48.0	58.0	74.0	61.0
alpha_rarefaction_140_2.biom	140	2	58.0	87.0	77.0	80.0	62.0	45.0	60.0	74.0	60.0
alpha_rarefaction_140_3.biom	140	3	58.0	86.0	79.0	80.0	59.0	46.0	60.0	78.0	59.0
alpha_rarefaction_140_4.biom	140	4	60.0	88.0	80.0	80.0	60.0	48.0	61.0	71.0	60.0
alpha_rarefaction_140_5.biom	140	5	60.0	85.0	80.0	77.0	59.0	46.0	60.0	72.0	59.0
alpha_rarefaction_140_6.biom	140	6	61.0	86.0	80.0	80.0	61.0	46.0	59.0	75.0	61.0
alpha_rarefaction_140_7.biom	140	7	61.0	88.0	80.0	80.0	60.0	46.0	60.0	75.0	62.0
alpha_rarefaction_140_8.biom	140	8	62.0	86.0	77.0	78.0	62.0	47.0	57.0	73.0	62.0
alpha_rarefaction_140_9.biom	140	9	61.0	86.0	80.0	81.0	60.0	46.0	60.0	72.0	59.0
