pc vector number	1	2	3	4	5	6	7	8
PC.636	-0.251937018984	0.169346733584	0.0438399139787	0.208867433609	-0.189780011563	0.179609122885	-0.012897204629	5.08808099143e-09
PC.635	-0.267717333543	-0.0150653918775	-0.0610628751938	-0.246797398041	0.0424680138987	0.0806757705294	0.215759494434	5.08808099143e-09
PC.356	0.242113093926	0.0723025233957	-0.32801309081	-0.0494460509375	-0.183082681647	-0.132601145153	-0.0102785598041	5.08808099143e-09
PC.354	0.284041338195	-0.0258390730053	0.072341382268	-0.179602133634	0.0416198422268	0.204889501263	-0.18067587387	5.08808099143e-09
PC.593	0.210544087622	-0.120203892483	0.346507769661	0.0053993803969	-0.123397686199	-0.130924363349	0.0997490020849	5.08808099143e-09
PC.355	0.240419402135	0.224761987479	-0.0227878876951	0.169286428163	0.249071730724	-0.00846051020188	0.0939483070486	5.08808099143e-09
PC.607	-0.102599974177	-0.430519396951	-0.126640935909	0.16034855173	0.0794378598563	0.00713449819924	-0.0326209636937	5.08808099143e-09
PC.634	-0.354863595174	0.125216509858	0.0758157237	-0.0680562112869	0.083662932703	-0.200322874172	-0.172984201571	5.08808099143e-09


eigvals	0.513028291904	0.300793647067	0.260849348985	0.198266752867	0.163645040472	0.15572371253	0.129231726596	2.07108545403e-16
% variation explained	29.8005700029	17.4723738969	15.152106438	11.5168351167	9.50574375947	9.045613019	7.50675776713	1.20304334144e-14
