	PC.636	PC.635	PC.356	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.607373627917	0.745674573298	0.747947798007	0.7377413135	0.70062016649	0.71845216592	0.578789881553
PC.635	0.607373627917	0.0	0.724723085186	0.706722275757	0.74515073532	0.745505987134	0.662119339231	0.556539815639
PC.356	0.745674573298	0.724723085186	0.0	0.618094220878	0.715341114096	0.614235013625	0.738352064212	0.790454102404
PC.354	0.747947798007	0.706722275757	0.618094220878	0.0	0.585097582096	0.599541095803	0.728612105698	0.78070206822
PC.593	0.7377413135	0.74515073532	0.715341114096	0.585097582096	0.0	0.660981656067	0.721081253999	0.762010881108
PC.355	0.70062016649	0.745505987134	0.614235013625	0.599541095803	0.660981656067	0.0	0.776504965402	0.75216324758
PC.607	0.71845216592	0.662119339231	0.738352064212	0.728612105698	0.721081253999	0.776504965402	0.0	0.726907847339
PC.634	0.578789881553	0.556539815639	0.790454102404	0.78070206822	0.762010881108	0.75216324758	0.726907847339	0.0
