	PC.636	PC.635	PC.356	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.271586122449	0.452512244898	0.528789931973	0.320240544218	0.366989931973	0.36582047619	0.210071632653
PC.635	0.271586122449	0.0	0.338051428571	0.413850748299	0.264507755102	0.303536598639	0.224974353741	0.237143741497
PC.356	0.452512244898	0.338051428571	0.0	0.145248979592	0.329642585034	0.186513877551	0.324941564626	0.443622653061
PC.354	0.528789931973	0.413850748299	0.145248979592	0.0	0.391728435374	0.237884489796	0.399192993197	0.508822653061
PC.593	0.320240544218	0.264507755102	0.329642585034	0.391728435374	0.0	0.320024489796	0.217069047619	0.342811632653
PC.355	0.366989931973	0.303536598639	0.186513877551	0.237884489796	0.320024489796	0.0	0.329076530612	0.360284829932
PC.607	0.36582047619	0.224974353741	0.324941564626	0.399192993197	0.217069047619	0.329076530612	0.0	0.356407891156
PC.634	0.210071632653	0.237143741497	0.443622653061	0.508822653061	0.342811632653	0.360284829932	0.356407891156	0.0
