pc vector number	1	2	3	4	5	6	7	8
PC.636	-0.226649384705	0.0828969528805	0.08254180564	-0.0588903438056	0.0334608103951	-0.031056105953	-0.0140189379826	2.31656104105e-09
PC.635	-0.0968206618333	-0.0312048678598	-0.102629653914	-0.00940285627217	0.0678145609299	0.0456091198753	-0.00458065183252	2.31656104105e-09
PC.356	0.20446865289	0.020791068697	-0.00545720847744	-0.0159753444519	0.0243378876446	-0.0275442872035	0.0592363986618	2.31656104105e-09
PC.354	0.282956552389	0.0417255199638	-0.000410135415168	0.041580477833	0.021183698206	-0.0233952631926	-0.0462783184082	2.31656104105e-09
PC.593	-0.0375827409827	-0.134452456948	0.114346287955	0.0567170786695	0.00496626521517	0.0310160850258	0.00890587860112	2.31656104105e-09
PC.355	0.109820577156	0.100152152397	0.0160121584722	-0.0476785185174	-0.0607210533038	0.0562214453167	-0.00251504123967	2.31656104105e-09
PC.607	-0.0248735129244	-0.178220092718	-0.0510614533768	-0.0444010696587	-0.0493687025329	-0.0328543632035	-0.0117221926739	2.31656104105e-09
PC.634	-0.21131948199	0.0983117235864	-0.053341800884	0.0780505762033	-0.041673466554	-0.0179966306652	0.0109728648739	2.31656104105e-09


eigvals	0.2413636614	0.0795544493807	0.0361600274067	0.0190940496401	0.01464517906	0.00987683597079	0.0062116003452	-4.29316404554e-17
% variation explained	59.3168393028	19.5510726941	8.88658434507	4.69249872816	3.59915708862	2.427302804	1.52654503728	1.05507564939e-14
