	PC.636	PC.481	PC.354	PC.635	PC.593	PC.356	PC.355	PC.607	PC.634
PC.636	0.0	0.632987837391	0.739659329451	0.573689344062	0.726591648707	0.723718664532	0.667752014203	0.697658825192	0.555609121149
PC.481	0.632987837391	0.0	0.569920423249	0.649039227057	0.635226186026	0.656854476429	0.609161944229	0.666489928329	0.663121177925
PC.354	0.739659329451	0.569920423249	0.0	0.68589071349	0.566745576652	0.609727770897	0.581840128312	0.720679972275	0.767271930444
PC.635	0.573689344062	0.649039227057	0.68589071349	0.0	0.730644635802	0.689647678272	0.715382009041	0.633358724406	0.57178648223
PC.593	0.726591648707	0.635226186026	0.566745576652	0.730644635802	0.0	0.710227402062	0.653382707831	0.697104212753	0.74483274699
PC.356	0.723718664532	0.656854476429	0.609727770897	0.689647678272	0.710227402062	0.0	0.591869697514	0.726803050191	0.760617482966
PC.355	0.667752014203	0.609161944229	0.581840128312	0.715382009041	0.653382707831	0.591869697514	0.0	0.747932016477	0.712164593406
PC.607	0.697658825192	0.666489928329	0.720679972275	0.633358724406	0.697104212753	0.726803050191	0.747932016477	0.0	0.711243909166
PC.634	0.555609121149	0.663121177925	0.767271930444	0.57178648223	0.74483274699	0.760617482966	0.712164593406	0.711243909166	0.0
