	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_55_5.biom	55	5	29.0	43.0	40.0	38.0	27.0	25.0	31.0	36.0	32.0
alpha_rarefaction_55_6.biom	55	6	31.0	43.0	40.0	34.0	35.0	29.0	25.0	34.0	33.0
alpha_rarefaction_55_7.biom	55	7	33.0	38.0	41.0	38.0	37.0	29.0	35.0	30.0	32.0
alpha_rarefaction_55_8.biom	55	8	29.0	41.0	39.0	39.0	30.0	32.0	36.0	36.0	33.0
alpha_rarefaction_55_9.biom	55	9	27.0	39.0	37.0	43.0	34.0	24.0	33.0	36.0	30.0
alpha_rarefaction_64_0.biom	64	0	35.0	50.0	44.0	46.0	30.0	31.0	38.0	38.0	32.0
alpha_rarefaction_64_1.biom	64	1	34.0	41.0	47.0	43.0	31.0	30.0	31.0	40.0	30.0
alpha_rarefaction_64_2.biom	64	2	31.0	48.0	40.0	40.0	37.0	26.0	37.0	45.0	37.0
alpha_rarefaction_64_3.biom	64	3	31.0	44.0	47.0	40.0	34.0	27.0	33.0	41.0	34.0
alpha_rarefaction_64_4.biom	64	4	31.0	47.0	45.0	44.0	33.0	26.0	36.0	37.0	34.0
alpha_rarefaction_64_5.biom	64	5	31.0	44.0	42.0	48.0	33.0	29.0	38.0	38.0	37.0
alpha_rarefaction_64_6.biom	64	6	32.0	50.0	42.0	45.0	30.0	31.0	36.0	44.0	35.0
alpha_rarefaction_64_7.biom	64	7	37.0	47.0	46.0	41.0	36.0	25.0	38.0	40.0	36.0
alpha_rarefaction_64_8.biom	64	8	35.0	47.0	43.0	42.0	36.0	26.0	31.0	43.0	38.0
alpha_rarefaction_64_9.biom	64	9	33.0	51.0	42.0	43.0	37.0	25.0	34.0	43.0	38.0
alpha_rarefaction_73_0.biom	73	0	40.0	51.0	48.0	45.0	41.0	27.0	41.0	48.0	39.0
alpha_rarefaction_73_1.biom	73	1	37.0	56.0	48.0	49.0	34.0	32.0	38.0	46.0	36.0
alpha_rarefaction_73_2.biom	73	2	32.0	56.0	53.0	46.0	41.0	35.0	37.0	47.0	45.0
alpha_rarefaction_73_3.biom	73	3	34.0	53.0	50.0	45.0	35.0	30.0	41.0	43.0	46.0
alpha_rarefaction_73_4.biom	73	4	41.0	54.0	50.0	46.0	35.0	30.0	37.0	42.0	45.0
alpha_rarefaction_73_5.biom	73	5	33.0	53.0	46.0	45.0	36.0	31.0	38.0	44.0	37.0
alpha_rarefaction_73_6.biom	73	6	38.0	47.0	50.0	41.0	32.0	30.0	37.0	49.0	43.0
alpha_rarefaction_73_7.biom	73	7	38.0	54.0	44.0	47.0	40.0	29.0	40.0	49.0	38.0
alpha_rarefaction_73_8.biom	73	8	36.0	47.0	52.0	49.0	35.0	31.0	35.0	45.0	38.0
alpha_rarefaction_73_9.biom	73	9	35.0	57.0	44.0	53.0	37.0	32.0	39.0	46.0	40.0
alpha_rarefaction_82_0.biom	82	0	37.0	54.0	48.0	55.0	41.0	35.0	39.0	48.0	45.0
