	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
PC.636	0.0	0.295078	0.4458427	0.4597936	0.5244871	0.3033059	0.3623353	0.3424579	0.2043801
PC.635	0.295078	0.0	0.3266507	0.3434988	0.4057745	0.2974347	0.2982205	0.2213371	0.2586703
PC.356	0.4458427	0.3266507	0.0	0.1676151	0.1575898	0.3570582	0.187204	0.3513712	0.4370708
PC.481	0.4597936	0.3434988	0.1676151	0.0	0.1762511	0.3744245	0.1986003	0.3596783	0.4302339
PC.354	0.5244871	0.4057745	0.1575898	0.1762511	0.0	0.4323746	0.2555028	0.4246218	0.5091792
PC.593	0.3033059	0.2974347	0.3570582	0.3744245	0.4323746	0.0	0.3581646	0.22331	0.3342392
PC.355	0.3623353	0.2982205	0.187204	0.1986003	0.2555028	0.3581646	0.0	0.3532646	0.3564408
PC.607	0.3424579	0.2213371	0.3513712	0.3596783	0.4246218	0.22331	0.3532646	0.0	0.339607
PC.634	0.2043801	0.2586703	0.4370708	0.4302339	0.5091792	0.3342392	0.3564408	0.339607	0.0
