pc vector number	1	2	3	4	5	6	7	8	9
PC.636	-0.314228668794	0.106659638737	0.0716974156445	-0.0712750018988	0.0163076599759	-0.0511608037653	0.00367743506843	-0.00831295450535	1.72475379244e-09
PC.481	0.220544898857	0.0065285907315	-0.0121400057738	0.043936336789	-0.0487316394686	-0.0769765765364	-0.0289979448879	0.0206779418653	1.72475379244e-09
PC.354	0.312188386214	0.0295452168116	0.0355710645441	0.0194836773936	0.0524108339079	0.00102429253125	0.00409488849322	-0.0587136888338	1.72475379244e-09
PC.635	-0.118762271279	-0.0479507215611	-0.125629386766	-0.0181373367538	0.0555859753208	0.0142455603363	-0.0561055000794	0.00503772151038	1.72475379244e-09
PC.593	-0.123665101737	-0.125068829125	0.153939116179	0.0405499207554	-0.00226332800393	0.0337375931926	-0.0237268368326	0.0121186230114	1.72475379244e-09
PC.356	0.209115555287	0.0126031941556	0.0040459052737	-0.0261719837016	0.0507166743496	0.0122355882954	0.0426759888029	0.0562149098799	1.72475379244e-09
PC.355	0.125932591049	0.0984919343679	-0.00770768396035	-0.0572755896525	-0.0761752525079	0.0612403515255	-0.0155479322543	-0.00336042295572	1.72475379244e-09
PC.607	-0.0670532170004	-0.186824586847	-0.0615228671626	-0.032813572123	-0.0387549476459	-0.0138177263919	0.0437983570971	-0.0217683029817	1.72475379244e-09
PC.634	-0.244072172597	0.106015562729	-0.0582535579784	0.101703549192	-0.00909597592792	0.0194717208125	0.0301315445926	-0.00189382699045	1.72475379244e-09


eigvals	0.397894523956	0.0862355320153	0.0532875120348	0.0247492086632	0.018442064173	0.014355199286	0.00947114665504	0.0077650735412	-2.67729808007e-17
% variation explained	64.9941775172	14.0861638918	8.70426157717	4.04266549154	3.0124234451	2.34485350895	1.54706674741	1.26838782086	4.37323904215e-15
