pc vector number	1	2	3	4	5	6	7	8	9
PC.636	-0.274107590002	0.142232609816	-0.0992285404589	0.0632314721602	-0.0522685700328	0.256363328855	0.0963984664326	-0.0968697558784	-8.71126076327e-10
PC.481	0.0634839114746	-0.0123908949615	-0.0903866199409	0.225297781871	0.267985262525	-0.0516863714835	0.106559342049	0.100343593934	-8.71126076327e-10
PC.354	0.299046442702	-0.0273481138031	-0.0394387626988	-0.114201279486	0.167104382218	0.0178589467291	-0.104039574016	-0.211099319854	-8.71126076327e-10
PC.635	-0.251681277278	-0.0270511334708	0.114063375751	-0.207745754773	0.134838088081	0.0772350743026	-0.130661594179	0.155813137106	-8.71126076327e-10
PC.593	0.210694198245	-0.203719605685	-0.267067969149	-0.137412844507	-0.154488282919	0.0166937773398	0.0921715137533	0.0970350639031	-8.71126076327e-10
PC.356	0.202450625272	0.176612211151	0.30610255819	-0.0846952456348	-0.0605075448145	-0.0394432634232	0.193694976309	0.0138884082182	-8.71126076327e-10
PC.355	0.193210644674	0.225751011817	-0.020430174769	0.151980698771	-0.152887567234	-0.00164672769661	-0.220484946076	0.0744107738861	-8.71126076327e-10
PC.607	-0.101923014268	-0.371231536691	0.209701253993	0.154467662923	-0.100882458236	-0.00632867805137	-0.0402245903167	-0.0575411686261	-8.71126076327e-10
PC.634	-0.341173940818	0.0971454518269	-0.113315120918	-0.0509224913232	-0.0488933095868	-0.269046086572	0.00658640604369	-0.075980732689	-8.71126076327e-10


eigvals	0.481434030931	0.292770495573	0.254838314869	0.186564606729	0.184123515753	0.148940849869	0.144832584515	0.112522955592	-6.82974576772e-18
% variation explained	26.6570730454	16.2107453662	14.110434946	10.3301096926	10.1949461265	8.24687674597	8.01940148958	6.23041258779	3.78164026875e-16
