pc vector number	1	2	3	4	5	6	7	8	9
PC.636	-0.258465461183	0.173999546883	0.0382875792552	-0.19447750562	0.0831176020844	0.262430333201	-0.0231636392235	-0.0184794039581	5.51273088761e-09
PC.635	-0.271001135391	-0.0185951319063	-0.0864841926349	0.118064245315	-0.198808358437	-0.0211723599535	-0.191024027565	0.155646592377	5.51273088761e-09
PC.356	0.235077898175	0.0962519254489	-0.345792726714	-0.00320862577619	-0.0963777675519	0.0457025386953	0.185472813286	0.0404093971793	5.51273088761e-09
PC.481	0.0261407664325	-0.0111459676533	0.147660603015	0.29087660853	0.203945472801	0.0619712384758	0.101641328709	0.105690998719	5.51273088761e-09
PC.354	0.285007552283	-0.0192549888483	0.0623263375385	0.138126799852	-0.104798602423	0.0951720730628	-0.129636097542	-0.220687170372	5.51273088761e-09
PC.593	0.204636326241	-0.139361150932	0.291513819623	-0.181566786821	-0.159580132715	-0.0246412130162	0.0866252404441	0.0996221476871	5.51273088761e-09
PC.355	0.233482403212	0.225257974068	-0.0188623096268	-0.107729981831	0.177108999572	-0.192905835151	-0.149819471408	0.0383549037464	5.51273088761e-09
PC.607	-0.0949631911323	-0.420974802495	-0.154869454869	-0.0898427509281	0.152618194488	-0.0334232691501	-0.0251224777303	-0.0508988536409	5.51273088761e-09
PC.634	-0.359915158638	0.113822595435	0.0662203444138	0.0297579972788	-0.0572254078183	-0.193133506163	0.145026331031	-0.149658611738	5.51273088761e-09


eigvals	0.512367260461	0.300719094427	0.267912066004	0.208988681078	0.19169895326	0.16054234528	0.15017695712	0.122457748167	2.73511816552e-16
% variation explained	26.7573832777	15.704469605	13.9911863774	10.9140272454	10.0111048503	8.38401161912	7.84269939011	6.39511763509	1.42836224545e-14
